Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,Goals_H_FT,Goals_A_FT
2734940,2025-09-21,15:00,Brazil Serie A  ,Mirassol,Juventude,1.48,4.0,7.0,0.78,0.5/1,1.1,1.85,2/2.5,2.0,H,10.0,10.0,0.3,3.0,-1.0,-30.0,0.2,43.0,0.4092698791025891,-1.0,-17.0,0.3967732199795652,33.0,60.0,0.8060430990821543,2,0
2745093,2025-09-21,15:00,Brazil Serie B  ,America MG,Coritiba PR,2.45,3.0,3.1,1.0,0/0.5,0.8,1.9,2,1.9,A,13.0,13.0,0.9230769230769232,-9.200000000000005,-0.1538461538461538,12.319999999999997,0.9230769230769232,0.8099999999999983,0.2127095754398804,-0.6153846153846154,23.81,0.1381178398973613,-21.520000000000003,-23.0,0.3508274153372417,1,0
2745097,2025-09-21,15:00,Brazil Serie B  ,Criciuma,CRB AL,1.83,3.4,4.2,0.98,0.5/1,0.83,2.03,2/2.5,1.78,H,13.0,13.0,0.7692307692307693,-12.28,-0.6923076923076923,-1.5000000000000036,0.9230769230769232,21.5,0.2800877556899882,-0.9230769230769232,-6.890000000000001,0.1681775812035096,-10.779999999999996,28.39,0.4482653368934978,1,0
2815623,2025-09-21,15:00,Categoria Primera A  ,Millonarios,Fortaleza F.C,1.67,3.5,5.5,0.85,0.5/1,0.95,1.95,2/2.5,1.85,A,19.0,15.0,0.8947368421052632,-0.0100000000000044,-0.7333333333333333,-2.6700000000000035,0.8947368421052632,1.5399999999999974,0.2309836333518552,-0.9333333333333332,22.01,0.2365895936154873,2.6599999999999997,-20.47000000000001,0.4675732269673425,3,2
2837838,2025-09-21,15:30,Primera Division de Paraguay  ,Guarani CA,FC Nacional Asuncion,2.55,3.3,2.63,0.85,0,0.95,2.0,2/2.5,1.8,D,17.0,17.0,0.2352941176470588,12.380000000000004,-0.2941176470588235,21.759999999999994,0.3529411764705882,8.830000000000002,0.468664666737861,-0.1176470588235294,2.9700000000000024,0.3011663015105079,-9.37999999999999,5.859999999999999,0.7698309682483688,2,0
2776190,2025-09-21,15:45,Argentine Division 1  ,Godoy Cruz Antonio Tomba,Instituto AC Cordoba,2.2,2.9,4.0,0.93,0/0.5,0.88,1.88,1.5/2,1.93,D,12.0,13.0,0.25,-7.5,-0.7692307692307693,33.82,0.1666666666666666,0.7999999999999936,0.1932574619052465,-0.9230769230769232,-1.5000000000000036,0.2127095754398804,-41.32,2.299999999999997,0.4059670373451269,1,1
2710486,2025-09-21,16:00,Argentine Division 2  ,Central Norte Salta,Chacarita juniors,2.9,2.88,2.63,0.85,0,0.95,2.05,2,1.75,A,14.0,14.0,0.2142857142857142,-7.890000000000002,-0.4285714285714285,11.439999999999998,0.2857142857142857,-0.0099999999999984,0.4535045882751561,-0.5714285714285714,42.88999999999999,0.2914343243183204,-19.33,-42.89999999999999,0.7449389125934764,2,1
2710489,2025-09-21,16:00,Argentine Division 2  ,Colon de Santa Fe,Deportivo Moron,2.8,2.8,2.75,0.78,0,1.03,2.03,2,1.78,A,15.0,14.0,0.8,-6.700000000000006,-0.5,25.68,0.8666666666666667,-4.690000000000003,0.1517610069469123,-0.6428571428571429,26.43,0.2138050993040052,-32.38000000000001,-31.120000000000005,0.3655661062509175,0,0
2873134,2025-09-21,16:15,Peru Primera Division  ,Juan Pablo II College,Sporting Cristal,4.75,3.6,1.73,0.88,-0.5/1,0.93,1.9,2.5/3,1.9,H,13.0,13.0,0.0769230769230769,10.78,0.2307692307692307,5.389999999999997,0.1538461538461538,26.12,0.1770944658123681,0.1538461538461538,6.200000000000003,0.2320575430148813,5.390000000000002,19.92,0.4091520088272494,0,0
2734938,2025-09-21,16:30,Brazil Serie A  ,Flamengo,Vasco da Gama,1.33,5.25,9.0,0.88,1,0.98,1.98,2.5,1.88,D,12.0,11.0,1.0,10.0,-0.7272727272727273,32.7,1.0,12.489999999999997,0.1932574619052465,-0.8181818181818182,-3.6000000000000014,0.4343497069897538,-22.700000000000003,16.089999999999996,0.6276071688950002,1,1
2734939,2025-09-21,16:30,Brazil Serie A  ,Internacional RS,Gremio (RS),1.8,3.6,4.5,1.0,0.5,0.85,1.78,2,2.1,A,11.0,11.0,0.8181818181818182,-9.970000000000002,-0.6363636363636364,14.499999999999996,0.7272727272727273,5.5,0.2365895936154873,-0.8181818181818182,14.499999999999996,0.1681775812035096,-24.47,-8.999999999999996,0.4047671748189969,2,3
2734943,2025-09-21,16:30,Brazil Serie A  ,Sport Club do Recife,Corinthians Paulista (SP),2.88,3.0,2.7,0.98,0,0.88,1.78,2,2.1,A,10.0,12.0,0.0,9.0,-0.4166666666666667,-1.690000000000003,0.1,-25.0,0.2365895936154873,-0.6666666666666666,18.3,0.1516622361413138,10.690000000000005,-43.3,0.388251829756801,1,0
2710491,2025-09-21,17:00,Argentine Division 2  ,Gimnasia Jujuy,Agropecuario de Carlos Casares,1.85,3.2,4.5,0.83,0.5,0.98,1.95,2,1.85,H,14.0,14.0,0.9285714285714286,2.899999999999995,-0.7857142857142857,35.690000000000005,1.0,17.099999999999998,0.2320575430148813,-0.8571428571428571,12.13,0.4974312600487308,-32.790000000000006,4.969999999999997,0.7294888030636121,0,2
2713617,2025-09-21,17:00,USL Championship  ,Indy Eleven,Birmingham Legion,1.91,3.4,3.6,0.95,0.5,0.85,1.8,2.5,2.0,A,12.0,11.0,0.4166666666666667,0.7999999999999936,-0.7272727272727273,-9.970000000000002,0.5833333333333334,-9.99,0.4676896608793401,-0.7272727272727273,26.329999999999995,0.3537967768916372,10.769999999999996,-36.31999999999999,0.8214864377709773,2,1
2720918,2025-09-21,17:00,Primera Division de Ecuador  ,Sociedad Deportiva Aucas,Orense SC,1.91,3.4,3.9,0.8,0.5,1.0,2.0,2/2.5,1.8,D,14.0,14.0,0.7857142857142857,12.13,-0.5714285714285714,-0.6900000000000013,0.6428571428571429,12.13,0.3259026690286935,-0.7857142857142857,7.149999999999999,0.1770944658123681,12.820000000000002,4.980000000000002,0.5029971348410616,0,0
2720920,2025-09-21,17:00,Primera Division de Ecuador  ,Deportivo Cuenca,Barcelona SC(ECU),2.6,3.1,2.8,1.0,0/0.5,0.8,1.95,2/2.5,1.85,A,14.0,14.0,0.6428571428571429,10.0,-0.2142857142857142,11.439999999999998,0.6428571428571429,10.0,0.1516622361413138,0.1428571428571428,38.6,0.3259026690286935,-1.4399999999999975,-28.6,0.4775649051700073,0,1
2720921,2025-09-21,17:00,Primera Division de Ecuador  ,Club Sport Emelec,CD El Nacional,1.8,3.5,4.5,0.93,0.5,0.88,1.85,2/2.5,1.95,A,14.0,14.0,0.4285714285714285,-12.140000000000006,-0.6428571428571429,37.86,0.5714285714285714,-11.400000000000002,0.0757124833691637,-0.8571428571428571,38.6,0.2138050993040052,-50.00000000000001,-50.0,0.2895175826731689,4,0
2720922,2025-09-21,17:00,Primera Division de Ecuador  ,Liga Dep. Universitaria Quito,Universidad Catolica,1.95,3.3,3.9,0.8,0/0.5,1.0,1.9,2.5/3,1.9,D,14.0,14.0,1.0,-4.299999999999997,-0.0714285714285714,-17.120000000000005,1.0,-2.1300000000000017,0.2914343243183204,0.2857142857142857,2.120000000000001,0.3876400468214041,12.820000000000007,-4.250000000000003,0.6790743711397245,2,4
2720923,2025-09-21,17:00,Primera Division de Ecuador  ,Macara,Libertad FC,1.95,3.3,3.9,0.8,0/0.5,1.0,2.0,2.5,1.8,A,13.0,14.0,0.4285714285714285,-16.430000000000003,-0.9285714285714286,19.27,0.4615384615384615,-16.900000000000006,0.1268049716161809,-0.9285714285714286,40.73,0.117211879101091,-35.7,-57.63,0.2440168507172719,1,1
2815624,2025-09-21,17:10,Categoria Primera A  ,Union Magdalena,Atletico Nacional Medellin,5.25,3.5,1.7,0.98,-0.5/1,0.83,1.85,2/2.5,1.95,D,14.0,18.0,-0.1428571428571428,1.4299999999999988,0.2777777777777778,-2.210000000000001,0.0714285714285714,-23.57,0.2365895936154873,0.4444444444444444,9.409999999999997,0.3317819560677652,3.64,-32.98,0.5683715496832525,1,2
2868914,2025-09-21,17:30,Uruguay Primera Division  ,CA Penarol,CA Juventud,1.42,4.1,7.5,1.0,1/1.5,0.8,1.88,2.5,1.93,H,14.0,14.0,0.9333333333333332,6.699999999999999,-0.1428571428571428,8.57,1.0,17.099999999999998,0.2480922525974644,-0.2142857142857142,12.13,0.3259026690286935,-1.870000000000001,4.969999999999997,0.573994921626158,1,0
2710494,2025-09-21,18:00,Argentine Division 2  ,Racing de Cordoba,San Martin Tucuman,2.25,3.0,3.3,0.93,0,0.88,1.85,2,1.95,D,15.0,15.0,0.7333333333333333,17.33,0.0,1.309999999999997,0.9333333333333332,0.0,0.4974312600487308,-0.3333333333333333,10.69,0.357464427565077,16.020000000000003,-10.69,0.8548956876138079,1,0
2745094,2025-09-21,18:00,Brazil Serie B  ,Atletico Paranaense,Vila Nova,1.53,3.75,6.5,0.88,0.5/1,0.93,1.9,2,1.9,D,13.0,13.0,1.0,-24.599999999999994,-0.4615384615384615,10.009999999999998,1.0,-6.890000000000001,0.1381178398973613,-0.7692307692307693,6.200000000000003,0.2800877556899882,-34.60999999999999,-13.090000000000003,0.4182055955873495,2,0
2776183,2025-09-21,18:00,Argentine Division 1  ,Argentinos Juniors,Banfield,1.62,3.3,7.0,1.03,0.5,0.78,1.78,1.5/2,2.03,H,14.0,12.0,0.9285714285714286,2.899999999999995,-0.75,10.0,1.0,24.3,0.2914343243183204,-0.9166666666666666,-6.700000000000006,0.2365895936154873,-7.100000000000005,31.000000000000007,0.5280239179338077,3,0
2776194,2025-09-21,18:00,Argentine Division 1  ,Rosario Central,Talleres Cordoba,2.1,3.25,3.7,0.8,0.5,1.0,1.9,2,1.9,H,14.0,12.0,0.6428571428571429,7.149999999999999,-0.25,11.69,0.8571428571428571,26.43,0.3195073356553728,-0.0833333333333333,-1.690000000000003,0.0974588057392146,-4.540000000000001,28.120000000000005,0.4169661413945874,1,1
2837839,2025-09-21,18:00,Primera Division de Paraguay  ,Clud Libertad,2 de Mayo PJC,1.57,4.1,5.25,1.05,1,0.75,1.78,2,2.03,D,17.0,17.0,0.8235294117647058,-20.63,-0.3529411764705882,-0.010000000000002,1.0,2.9700000000000024,0.1982422808259466,-0.4705882352941176,5.889999999999997,0.1516622361413138,-20.62,-2.9199999999999946,0.3499045169672604,0,1
2873135,2025-09-21,18:30,Peru Primera Division  ,Sport Huancayo,Cienciano,2.1,3.4,3.2,0.85,0/0.5,0.95,1.83,2/2.5,1.98,A,13.0,13.0,0.7692307692307693,10.78,-0.2307692307692307,20.02,0.8461538461538461,10.78,0.4236888781333764,-0.4615384615384615,18.419999999999995,0.1770944658123681,-9.24,-7.639999999999995,0.6007833439457445,5,2
2741702,2025-09-21,19:00,USA Major League Soccer  ,Austin FC,Seattle Sounders,2.7,3.75,2.4,0.85,0,0.95,2.0,2.5,1.8,D,14.0,15.0,0.7857142857142857,-14.31,-0.0666666666666666,-7.300000000000001,0.7857142857142857,2.899999999999995,0.1634449073720273,-0.4,-5.330000000000004,0.3011663015105079,-7.01,8.229999999999999,0.4646112088825351,2,1
2815625,2025-09-21,19:20,Categoria Primera A  ,Dep.Independiente Medellin,Atletico Junior Barranquilla,1.85,3.4,4.2,0.98,0.5/1,0.83,1.83,2/2.5,1.98,D,19.0,19.0,0.7894736842105263,-0.0100000000000044,-0.2105263157894736,6.840000000000002,0.9473684210526316,8.949999999999998,0.1914927237627384,-0.3157894736842105,8.949999999999998,0.3011663015105079,-6.850000000000006,0.0,0.4926590252732463,2,2
2734937,2025-09-21,19:30,Brazil Serie A  ,Cruzeiro,Bragantino,1.53,4.0,6.5,0.83,0.5/1,1.03,2.05,2.5,1.8,H,12.0,11.0,0.5,20.83,-0.6363636363636364,-0.8700000000000009,0.5833333333333334,31.67,0.4676896608793401,-0.9090909090909092,5.5,0.3126695474501863,21.7,26.17,0.7803592083295264,2,1
2734942,2025-09-21,19:30,Brazil Serie A  ,Santos,Sao Paulo,2.25,3.1,3.5,0.88,0,0.98,1.85,2,2.0,A,10.0,11.0,0.4,-4.0,-0.7272727272727273,38.16,0.6,-10.0,0.2365895936154873,-0.7272727272727273,17.229999999999993,0.2365895936154873,-42.16,-27.229999999999997,0.4731791872309746,1,0
2745098,2025-09-21,19:30,Brazil Serie B  ,Cuiaba,Chapecoense SC,1.9,3.3,4.1,1.0,0.5,0.8,1.85,2,1.95,D,12.0,13.0,0.8333333333333334,1.6999999999999993,-0.9230769230769232,31.51,0.9166666666666666,26.700000000000003,0.2800877556899882,-0.9230769230769232,16.109999999999996,0.0889400396289613,-29.81,10.590000000000009,0.3690277953189495,1,0
2776187,2025-09-21,20:15,Argentine Division 1  ,Boca Juniors,Central Cordoba SDE,1.6,3.5,7.0,0.78,0.5,1.03,2.0,2/2.5,1.8,D,13.0,12.0,1.0,-16.900000000000006,-0.5833333333333334,0.7999999999999936,1.0,10.78,0.1205815986827429,-0.9166666666666666,4.19,0.3537967768916372,-17.7,6.589999999999999,0.4743783755743801,2,2
2741709,2025-09-21,21:00,USA Major League Soccer  ,Los Angeles FC,Real Salt Lake,1.45,5.0,5.75,0.98,1/1.5,0.83,1.98,2.5/3,1.83,D,14.0,14.0,0.9285714285714286,-4.299999999999997,-0.7857142857142857,24.3,1.0,10.0,0.1516622361413138,-0.8571428571428571,10.0,0.2138050993040052,-28.6,0.0,0.365467335445319,4,1
2873136,2025-09-21,21:00,Peru Primera Division  ,Alianza Lima,Comerciantes Unidos,1.25,6.0,9.0,0.9,1.5,0.9,1.95,3/3.5,1.85,A,13.0,13.0,1.0,0.8099999999999983,-1.0,36.9,1.0,-1.5000000000000036,0.1268049716161809,-1.0,23.81,0.2914343243183204,-36.09,-25.31,0.4182392959345012,4,0
2815626,2025-09-21,21:30,Categoria Primera A  ,Boyaca Chico,Deportivo Pereira,2.7,3.0,2.7,0.98,0/0.5,0.83,1.95,2,1.85,D,15.0,15.0,0.0,-8.0,-0.6666666666666666,1.309999999999997,0.1333333333333333,6.0,0.1770944658123681,-0.8666666666666667,-4.690000000000003,0.2138050993040052,-9.309999999999995,10.690000000000005,0.3908995651163733,1,1
