Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,MT_H,MT_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT
2794982,2025-10-24,12:00,Czech Republic 2.Liga  ,Usti nad Labem,Banik Ostrava B,1.8,3.4,3.8,0.83,0.5,0.98,1.98,2.5/3,1.83,D,7.0,7.0,0.7142857142857143,-11.400000000000002,-0.5714285714285714,17.099999999999998,0.7142857142857143,17.099999999999998,0.2999883213415286,-0.7142857142857143,17.099999999999998,0.2504542304090258,-28.5,0.0,0.5504425517505545,-0.5991274355563786,0.7823538311761676,0.27488425369187514,0.16547558022427253,0.0,-1.0364258141842269,0.8740116892482537,0.6168782509518951,Away,Home
2703420,2025-10-24,13:00,Sweden Superettan  ,Orgryte,Vasteras SK FK,2.8,3.8,2.2,0.88,0,0.93,1.95,3,1.85,H,13.0,13.0,0.9230769230769232,6.200000000000003,0.3846153846153846,16.109999999999996,0.9230769230769232,29.200000000000003,0.3552248097226855,0.6923076923076923,8.470000000000002,0.4343497069897538,-9.909999999999993,20.73,0.7895745167124393,0.10036883497585566,1.317817524806921,0.42026634801528073,-0.31015861229715724,-0.38980732051612904,-0.3413554794365193,0.31989751303942504,1.6279761371040782,Away,Home
2816530,2025-10-24,13:00,Germany Regionalliga  ,SpVgg Bayreuth,FC Augsburg II,2.0,3.75,2.88,0.8,0/0.5,1.0,2.0,3,1.8,A,7.0,5.0,0.1428571428571428,-7.110000000000003,-0.6,12.0,0.4285714285714285,2.899999999999995,0.0822171657090154,-0.6,20.0,0.0614903152761605,-19.110000000000003,-17.100000000000005,0.14370748098517588,-0.5251969932204971,-0.2697811724925096,-0.021430173799523777,0.33154573858843184,1.0364258141842275,1.4142135623730951,0.5037668194209732,0.6013269110809414,Away,Away
2865722,2025-10-24,13:00,Bulgaria Premier League  ,Lokomotiv Sofia,Lokomotiv Plovdiv,2.1,3.0,3.9,0.75,0,1.05,1.98,2/2.5,1.83,D,6.0,6.0,-0.3333333333333333,10.0,0.0,10.0,-0.3333333333333333,10.0,0.0967693325592168,0.0,10.0,0.1876128068994087,0.0,0.0,0.2843821394586255,-0.11581853242383325,-0.10380988609251558,0.4958928532013614,0.26745053772004784,-0.7071067811865476,-1.0,0.6117113856251947,0.3712604238125634,Away,Away
2810885,2025-10-24,13:00,German 3.Liga  ,SV Wehen Wiesbaden,Alemannia Aachen,2.0,3.75,3.3,1.0,0.5,0.8,1.93,2.5/3,1.88,D,5.0,5.0,0.2,26.0,-0.8,46.0,0.4,20.0,0.1176182311592532,-0.6,20.0,0.3755282641185388,-20.0,0.0,0.493146495277792,0.8176967616918943,0.38362379370474176,1.6336273100019767,0.5272558890353689,0.16030376092491183,-1.1789648361562153,0.8159305483100824,0.14363209533062715,Away,Away
2785211,2025-10-24,13:00,Denmark Superligaen  ,Aarhus AGF,Nordsjaelland,1.8,3.8,4.1,1.0,0.5/1,0.8,2.0,3,1.8,H,6.0,6.0,0.8333333333333334,48.31,0.3333333333333333,-1.690000000000003,0.8333333333333334,31.67,0.1876128068994087,0.6666666666666666,-1.690000000000003,0.565508505247919,50.00000000000001,33.36000000000001,0.7531213121473277,1.7558822403855108,1.4696109192923146,0.016767197595894637,-0.5998354692262635,1.0,1.2012328960818481,1.739115042789616,2.0694463885185783,Home,Home
2797175,2025-10-24,13:30,Romania Liga I  ,Arges,Dinamo Bucuresti,3.1,3.1,2.4,0.78,0/-0.5,1.03,1.93,2/2.5,1.88,D,6.0,7.0,0.3333333333333333,3.3299999999999965,0.2857142857142857,1.4299999999999988,0.5,26.700000000000003,0.1176182311592532,0.1428571428571428,17.099999999999998,0.2504542304090258,1.8999999999999977,9.600000000000005,0.368072461568279,-0.14185274169931447,0.6958934495723221,-0.12097184488741469,0.49671995518799816,-1.0000000000000002,1.1500103584658863,0.02088089681189978,0.19917349438432397,Away,Home
2847350,2025-10-24,14:00,France Ligue 2  ,Guingamp,Clermont,1.7,3.7,4.75,0.98,0.5/1,0.83,1.83,2.5,1.98,A,5.0,5.0,0.6,0.0,-1.0,20.0,0.8,0.0,0.3755282641185388,-1.0,20.0,0.230719932208837,-20.0,-20.0,0.6062481963273758,-0.460630188111432,-0.2575992631515537,0.6447697613492521,0.3719456510230667,-0.1603037609249121,-1.111167799007432,1.105399949460684,0.6295449141746203,Away,Away
2790316,2025-10-24,14:00,Holland Eerste Divisie  ,RKC Waalwijk,SC Cambuur,2.9,3.8,2.2,0.85,0/-0.5,0.95,1.78,3,2.03,D,6.0,6.0,0.5,26.700000000000003,0.5,19.99,0.5,-6.700000000000006,0.0967693325592168,0.6666666666666666,15.01,0.0300525858717302,6.710000000000004,-21.710000000000008,0.126821918430947,0.7738495156833295,-0.6759346952340824,0.7830244850797627,0.23679716215708682,0.07521109295004264,-1.2223765926482142,0.009174969396433252,0.9127318573911692,Away,Away
2790314,2025-10-24,14:00,Holland Eerste Divisie  ,FC Utrecht (Youth),FC Oss,2.5,3.7,2.55,0.85,0/0.5,0.95,1.83,2.5/3,1.98,D,6.0,6.0,-0.5,31.67,-1.0,-6.700000000000006,-0.6666666666666666,43.3,0.2999883213415286,-1.0,26.700000000000003,0.1876128068994087,38.370000000000005,16.599999999999994,0.48760112824093726,1.031339759145121,1.5808694957292722,-0.5408003350231101,0.7741859187347659,-0.13588313037367425,-0.0869282828502281,1.572140094168231,0.8066835769945062,Home,Home
