Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT
2719990,2025-10-12,03:30,K League 2  ,Chungnam Asan,Gyeongnam FC,1.62,3.9,4.5,0.83,0.5/1,0.98,1.9,2.5/3,1.9,A,16.0,16.0,0.4375,1.25,-0.6875,15.64,0.5,-11.25,0.2799923761135083,-0.75,3.7999999999999936,0.2309836333518552,-14.39,-15.049999999999994,0.5109760094653635,1.2175506134456584,-0.18515357043188818,0.14106116614357944,-1.2880616407636436,1.076489447302079,1.1029080703317553,Home,Home
2719991,2025-10-12,03:30,K League 2  ,Seongnam FC,Incheon United,3.2,2.9,2.3,1.0,0/-0.5,0.8,1.93,2/2.5,1.88,A,16.0,17.0,0.0,19.36,0.8235294117647058,20.57,-0.1875,15.64,0.2480922525974644,0.9411764705882352,14.669999999999998,0.261648011960881,-1.2100000000000009,0.9700000000000024,0.5097402645583454,2.3113493155015363,0.959838047156236,1.5268758895627603,0.9229717789484133,0.784473425938776,0.03686626820782268,Home,Home
2744098,2025-10-12,03:30,Chinese Football Association Jia League  ,ShenZhen Juniors,ShanXi Union,2.75,3.4,2.2,0.95,-0.5,0.85,1.95,2.5,1.85,H,12.0,12.0,-0.1666666666666666,9.2,-0.25,23.309999999999995,-0.1666666666666666,18.299999999999997,0.5519636426153274,0.0,4.19,0.1932574619052465,-14.109999999999996,14.109999999999996,0.7452211045205739,0.8260854780848197,0.8968579265001596,1.2900083171926584,-0.9165354159993335,0.4639228391078387,1.8133933424994932,Away,Home
2744095,2025-10-12,07:00,Chinese Football Association Jia League  ,Suzhou Dongwu,Yanbian Longding,2.05,3.0,3.4,0.95,0/0.5,0.85,1.75,2,2.05,A,12.0,12.0,0.75,-9.99,-0.8333333333333334,20.83,0.75,-4.170000000000004,0.0566809479806933,-0.8333333333333334,20.83,0.1932574619052465,-30.82,-25.000000000000004,0.2499384098859398,-0.8426309847567508,-0.9474330229453211,1.5302480739103022,1.6071254112324351,2.3728790586670527,2.554558434177756,Away,Away
2744096,2025-10-12,07:30,Chinese Football Association Jia League  ,Dingnan Ganlian,Nantong Zhiyun,3.1,3.0,2.25,0.9,0/0.5,0.9,2.03,2/2.5,1.78,D,12.0,12.0,0.0,9.2,-0.0833333333333333,5.809999999999996,-0.0833333333333333,43.3,0.3906175873976139,-0.1666666666666666,18.299999999999997,0.1381178398973613,3.3900000000000032,25.0,0.5287354272949751,0.16091852826971775,1.6841593033752569,-0.016457155912185634,0.7839099996520886,0.1773756841819034,0.9002493037231682,Home,Home
2744097,2025-10-12,07:30,Chinese Football Association Jia League  ,Qingdao Red Lions,Guangxi Pingguo Football Club,3.0,3.1,2.1,0.95,0,0.85,1.75,2,2.05,A,12.0,12.0,-0.25,-4.170000000000004,-0.8333333333333334,29.190000000000005,-0.3333333333333333,-12.510000000000003,0.0513666006710006,-0.9166666666666666,12.489999999999997,0.1932574619052465,-33.36000000000001,-25.0,0.2446240625762471,-0.24575694074469168,-0.7993553880530956,1.8973614885552192,0.20668506190835048,2.143118429299911,1.0060404499614461,Away,Away
2885002,2025-10-12,09:30,Uruguay Primera Division  ,Montevideo City Torque,Wanderers FC,1.85,3.5,4.2,1.0,0.5,0.8,1.83,2,1.98,D,15.0,17.0,0.4666666666666667,-7.300000000000001,-0.4117647058823529,-5.91,0.6666666666666666,2.01,0.2480922525974644,-0.7058823529411765,-4.700000000000006,0.2799923761135083,-1.3900000000000006,6.710000000000006,0.5280846287109727,0.12422981446441313,-0.39484570019937587,-0.7041944648061902,0.2933309828704841,0.8284242792706034,0.6881766830698599,Home,Away
2722881,2025-10-12,11:00,Chile Primera Division  ,Union Espanola,Huachipato,2.05,3.6,3.25,0.9,0,0.9,2.0,2/2.5,1.8,D,12.0,12.0,0.1666666666666666,-20.81,-0.6666666666666666,9.2,0.5833333333333334,-15.0,0.3906175873976139,-0.8333333333333334,-4.170000000000004,0.3195073356553728,-30.009999999999998,-10.829999999999995,0.7101249230529867,-1.4505101759915198,-1.471097358211958,-0.7842045700205295,-0.4403853417034519,0.6663056059709903,1.030712016508506,Away,Away
2730116,2025-10-12,11:30,Chile Primera B  ,Union San Felipe,Deportes Santa Cruz,1.75,3.7,4.1,0.95,0/0.5,0.85,1.75,2,2.05,H,11.0,8.0,0.0909090909090909,21.85,-0.875,26.25,-0.1818181818181818,14.499999999999996,0.2127095754398804,-1.0,10.0,0.2152125268244419,-4.399999999999999,4.4999999999999964,0.42792210226432226,0.9631990400850526,-0.1736638183800667,0.5627867969958511,0.06715632176164778,0.40041224308920154,0.2408201401417145,Home,Away
2885003,2025-10-12,12:00,Uruguay Primera Division  ,CA Juventud,CA River Plate,1.7,3.6,5.0,0.98,0.5/1,0.83,1.8,2,2.0,H,16.0,16.0,0.125,25.6,-0.625,10.0,0.1875,41.2,0.2309836333518552,-0.75,-6.900000000000001,0.1982422808259466,15.600000000000001,48.1,0.4292259141778018,2.301101811206298,2.7657130048587004,1.4180867202584735,-0.6189874634762366,0.8830150909478247,3.384700468334937,Home,Home
2776228,2025-10-12,13:30,Argentine Division 1  ,Aldosivi Mar del Plata,CA Huracan,3.6,3.0,2.25,0.78,0/-0.5,1.03,1.98,2,1.83,A,13.0,14.0,-0.3076923076923077,-7.699999999999999,-0.4,18.7,-0.2307692307692307,-9.97,0.3126695474501863,-0.5,21.39,0.2679886791947528,-26.4,-31.36,0.5806582266449392,-0.0887067652645338,-0.3936049738544741,1.1452278167839152,0.8200063836632265,1.233934582048449,1.2136113575177006,Away,Away
2730112,2025-10-12,14:00,Chile Primera B  ,Cobreloa,Deportes Temuco,1.62,3.9,5.25,0.78,0.5/1,1.03,2.0,2.5/3,1.8,D,11.0,11.0,0.9090909090909092,14.499999999999996,-0.4545454545454545,4.549999999999999,1.0,23.599999999999994,0.2127095754398804,-0.9090909090909092,14.499999999999996,0.3126695474501863,9.949999999999998,9.099999999999998,0.5253791228900667,0.3004422898011062,0.7560514849228903,-0.22423776493784517,0.0895520359782991,0.5246800547389514,0.6664994489445912,Home,Home
